file,Comercio,Fecha,Moneda,Impuestos,Total
1001-receipt.jpg,GRAND,04/25/15,,5.50,69.25
1002-receipt.jpg,Taco Bell,9/1/2016,,,8.25
1003-receipt.jpg,El Gran Mar,4/20/2017,,0.35,5.35
1004-receipt.jpg,GOLDEN BOWL,05-18-2019,$,1.40,15.03
1005-receipt.jpg,,,,,
1006-receipt.jpg,,,,,
1007-receipt.jpg,,,,,
1008-receipt.jpg,,,,,
1009-receipt.jpg,,,,,
1010-receipt.jpg,,,,,
synth_col_00.jpg,TIENDAS D1 S.A.S,15/03/2024,$,23750.00,148750.00
synth_col_01.jpg,SUPERMERCADOS EXITO S.A.,22/04/2024,$,9785.00,61285.00
synth_col_02.jpg,CARULLA VIVERO S.A.,08/07/2024,$,17385.00,108885.00
synth_col_03.jpg,JUMBO CENCOSUD COLOMBIA,19/09/2024,$,19969.00,125069.00
synth_col_04.jpg,ALMACENES ARA S.A.S.,03/11/2024,$,14402.00,90202.00
synth_col_05.jpg,TIENDAS D1 S.A.S,28/01/2025,$,10545.00,66045.00
synth_col_06.jpg,SUPERMERCADOS EXITO S.A.,14/02/2025,$,26942.00,168742.00
synth_col_07.jpg,CARULLA VIVERO S.A.,05/06/2025,$,8740.00,54740.00
synth_col_08.jpg,JUMBO CENCOSUD COLOMBIA,11/08/2024,$,8949.00,56049.00
synth_col_09.jpg,ALMACENES ARA S.A.S.,30/10/2024,$,27417.00,171717.00
